Appliance,Accuracy,Precision,Recall,F1
TV & DVD Digibox & Lamp,0.9632796984558019,0.7044702657579686,0.6483083423301892,0.6713841328092388
Kettle & Radio,0.9949607533200935,0.6790403334872686,0.6142668099783193,0.6393908620451243
Gas Boiler,0.8816925384023021,0.6625186674554002,0.7942141396954128,0.7000287872398734
Freezer,0.8357854064496953,0.7480890892918474,0.7666787574057673,0.7565374958797085
Washing Machine & Microwave & Breadmaker,0.9961766573447358,0.6583447743777312,0.6153193450969384,0.6334085841119477
